Product ID,Product Line Name,Brand Name,Product Name,Product Description,Product Images,Ingredients,Skin Concern,Source URL,Volume in mL,Barcode (EAN/UPC/SKU),Price_in_Naira
mpg1657713,,NIVEA,NIVEA MEN Deep Body Lotion 400ml ,"NIVEA MEN Deep Body Lotion hydrates your skin with triple moisture boost. It is non-greasy, with an intense woody masculine scent and enriched with Black Carbon formula giving you a fresh and clean feel It leaves your skin feeling hydrated and healthy.",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/31/2713401/1.jpg?9564,"Deep Body Lotion: Water, Glycerin, Dimathicone, Alcohol Denat, Glyceryl Stearate SE, Isopropyl Palmitate, Cetearyl Alcohol, Phenoxyethanol, Carbomer, Menthol, Parfum, Sodium Cetearyl Sulfate, Sodium Hydroxide, Linalool, Limonene, Citrus Aurantium Peel Oil, Acetyl Cedrene, Charcoal Powder, Linalyl Acetate, Pogostemon Cabin Oil, Terpineol, Geraniol, Coumarin, Deep Roll-on: Aqua, Aluminum Chlorohydrate, PPG-15 Stearyl Ether, Steareth-2, Steareth-21, Parfum, Persea Gratissima Oil, Charcoal Powder, Trisodium EDTA, BHT, Dilauryl Thiodipropionate, Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate, Linalool, Citronellol, Limonene, Geraniol.",dry skin,https://www.jumia.com.ng/nourishing-cocoa-body-lotion-400ml-free-dry-fresh-roll-on-for-men-50ml-nivea-mpg1657713.html,400.0,NI930ST265LM4NAFAMZ,6890.0
mpg1657699,,NIVEA,NIVEA Perfect & Radiant Body Lotion For Women - 400ml (Pack Of 2) | Jumia Nigeria,NIVEA Perfect & Radiant Body Lotion is a daily moisturiser developed to enhance the skin’s natural radiance. The innovative formula of NIVEA Perfect & Radiant Body Lotion gives the desired benefits via combined effect of the active ingredients. It works through two mechanisms:,https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/15/1713401/1.jpg?0547,"Aqua, Dimethicone, Ethylhexyl Methoxycinnamate, Cetyl Alcohol, Isopropyl Palmitate, Paranum Liquidum, Palmitic Acid, Stearic Acid, Cetyl Palmitate, Butyl Methoxydibenzoylmethane, Glycyrrhiza Glabra Root Extract, Octadecenedioic Acid, Fragaria Ananassa Fruit Juice, Rubus Fruticosus Juice, Rubus Idaeus Juice, Vaccinium Myrtillus Fruit Juice, Tocopheryl Acetate, Glycerin, Glyceryl Stearate, Propylene Glycol, Arachidic Acid, Myristic Acid, Oleic Acid, Silica,Magnesium Aluminum Silicate, SodiumCarbomer, Trisodium EDTA, Phenoxyethanol, Ethylparaben, Methylparaben, Linalool, Limonene, Alpha-Isomethyl Ionone,Citronellol,Geraniol,BenzylAlcohol,Hydroxyisohexyl 3-CyclohexeneCarboxaldehyde,Benzyl Salicylate,Coumarin,Citral,BHT, Parfum, Citronellol, Geraniol, BenzylAlcohol, Hydroxyisohexyl 3-CyclohexeneCarboxaldehyde, Benzyl Salicylate, Coumarin, Citral, BHT",dry skin,https://www.jumia.com.ng/natural-fairness-clarifiant-for-women-400ml-pack-of-2-nivea-mpg1657699.html,400.0,NI930ST1WKIRWNAFAMZ,7205.0
mpg1657642,,NIVEA,NIVEA DoShakara Pack - Nourishing Cocoa Body Lotion - 400ml (Pack Of 3) | Jumia Nigeria,"NIVEA Nourishing Cocoa Body Lotion provides 48h nourishing deep moisture care and noticeably smoother skin. The patented formula is using the knowledge, that our skin contains sufficient moisture in its deeper layers. The unique composition of skin’s own moisturizer, moisture-locking lipids and care providing oils bind and hold water in the skin thus the moisture cannot evaporate easily into the surrounding area. The skin is well protected from drying out, because water loss is reduced and the moisture level of the skin is increased. The latest testing methods have shown that the perfect combination of high quality ingredients of our body milk and lotions together with the DEEP MOISTURE SERUM penetrates deeply into the skin, locking moisture and providing deep moisture for 48h. An effect you can not only feel but also see.-	48h nourishing deep moisture care-	DEEP MOISTURE SERUM and cocoa butter & vitamin E-	Provides moisture and smoothes away dullness-	Leaves skin nicely fragranced with a scent of cocoa - after just 1 application.-	With Cocoa ButterINGREDIENTS: Aqua, Glycerin, Cetearyl Alcohol, Isohexadecane, Isopropyl Palmitate, Paraffinum Liquidum, Glyceryl Stearate SE,Butyrospermum Parkii Butter, Dimethicone, Cocos Nucifera Oil, Tocopheryl Acetate, Sodium Cetearyl Sulfate, Carbomer, Trisodium EDTA, Sodium Hydroxide, Phenoxyethanol, Benzyl Alcohol, BHT",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/85/9023401/1.jpg?5255," Aqua, Glycerin, Cetearyl Alcohol, Isohexadecane, Isopropyl Palmitate, Paraffinum Liquidum, Glyceryl Stearate SE,Butyrospermum Parkii Butter, Dimethicone, Cocos Nucifera Oil, Tocopheryl Acetate, Sodium Cetearyl Sulfate, Carbomer, Trisodium EDTA, Sodium Hydroxide, Phenoxyethanol, Benzyl Alcohol, BHT",dry skin,https://www.jumia.com.ng/doshakara-pack-nourishing-cocoa-body-lotion-400mlpack-of-3-nivea-mpg1657642.html,400.0,NI930ST32OJ5WNAFAMZ,10175.0
104325862,,NIVEA,NIVEA Radiant & Beauty Even Glow Body Lotion For Women - 400ml - Pack Of 2 | Jumia Nigeria,"NIVEA Radiant & Beauty Even Glow is formulated with your shade of beautiful. Enjoy 48 hour lingering moisture that hydrates your skin, leaving you feeling and looking better. Get your skin tone visibly radiant & even glow in just 2 weeks.",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/26/8523401/1.jpg?1668," Aqua, Glycerin, Paraffinum, Liquidum, Cetearyl Alcohol, Glyceryl Stearate SE, Isopropyl Palmitate, Dicaprylyl Ether, Glyceryl Stearate, Hydroxypropyl, Starch Phosphate, Glycine Soja Oil, Phenoxyethanol, Caprylic/Capric Triglycride, Cera Microcristalli-na, Sodium Cetearyl Sulphate, Trisodium EDTA, Ethylhexyglycerin, Tocopheryl Acetate, Citric Acid, Potassium Lactate, Macadamia Integrifolia seed Oil, Olea Europaea Fruit Oil, Persea Gratissima Oil, Prunus Amygdalus Dulcis Oil, Niacinamide, Retinyl Palmitate, Lactic Acid, Sodium Ascorbyl Phosphate, Panthenol, Ricinus Communis Seed Oil, Tacopherol, Pantolactone, Propyl Gallate, BHT, Parfum.",dry skin,https://www.jumia.com.ng/nivea-radiant-beauty-even-glow-body-lotion-for-women-400ml-pack-of-2-104325862.html,400.0,NI930ST23IVW4NAFAMZ,8555.0
mpg1657646,,NIVEA,"NIVEA Dry Comfort Roll-on For Women, 72h- 50ml (Pack Of 3) | Jumia Nigeria","NIVEA Dry Comfort anti-perspirant deodorant offers you powerful protection tested in real life situations. NIVEA Dry Comfort combines 48 hours reliable protection against sweat and body odour with gentle care for your underarm skin. The spirit of white and dry, care and freshness: wrapped in clean citrus, fresh accents of dry linen and sheer powdery inflexions, this fragrance is the best friend of women who need reassurance and care. Place your order for this amazing product from Jumia Nigeria and have it delivered to your doorstep at an amazing price",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/64/9523401/1.jpg?5543,"Water, Aluminum Chlorohydrate, PPG-15 Stearyl Ether, Steareth-2, Steareth-21, Parfum, Aluminum Sesquichlorohydrate, Magnesium Aluminum Silicate, Persea Gratissima Oil, Trisodium EDTA, BHT, Linalool, Limonene, Benzyl Alcohol, Alpha-Isomethyl Ionone, Citronellol, Geraniol, Benzyl Salicylate",dry skin,https://www.jumia.com.ng/dry-comfort-roll-on-for-women-48h-50ml-pack-of-3-nivea-mpg1657646.html,50.0,NI930ST2Q7I1GNAFAMZ,4505.0
404436340,,NIVEA,NIVEA Sun UV Sunscreen Face Shine Control Cream SPF 50 - 50ml | Jumia Nigeria,NIVEA SUN UV Face Shine Control Cream provides highly effective and immediate UVA/UVB protection against sunburn and premature skin aging.NIVEA SUN UV Face Shine Control SPF 50 is especially developed for delicate facial skin. Formula with Ultra Spectrum Proection provides immediate protection against UVA & UVB induced skin damage as well as from High Energy Visible Lights effects such as premature skin aging.,https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/04/3634404/1.jpg?7616,"Aqua, Homosalate, Butyl Methoxydibenzoylmethane, Ethylhexyl Salicylate, Ethylhexyl Triazone, Butylene Glycol Dicaprylate/Dicaprate, Alcohol Denat., Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Phenylbenzimidazole Sulfonic Acid, Silica, Cyclomethicone, Tapioca Starch, Behenyl Alcohol, Cetearyl Alcohol, Methylpropanediol, Glycerin, Glycyrrhiza Inflata Root Extract, Tocopheryl Acetate, Sodium Stearoyl Glutamate, Isomethyl Ionone, Geraniol, Citronellol, Coumarin, Parfum",dry skin,https://www.jumia.com.ng/nivea-sun-uv-sunscreen-face-shine-control-cream-spf-50-50ml-404436340.html,50.0,NI930ST6OQWTSNAFAMZ,8345.0
117097341,,NIVEA,NIVEA MEN Deep Aftershave Lotion - 100ml | Jumia Nigeria,"NIVEA MEN DEEP COMFORT After Shave Lotion supports the skin’s recovery from shaving irritations and leaves a long-lasting clean and comfortable feeling skin. When used after shaving, it will soothe shave irritation and protect the skin from drying out, leaving the skin feeling fresh. The formula is also enriched with a masculine and modern Vanilla & Bourbon scent.Developed as an anti-bacterial formula with black carbon, NIVEA MEN DEEP After Shave Balm provides antibacterial protection, and protects your skin against inflammation while supporting recovery after shaving.Features an antibacterial formula with black carbon to comfort the skin after shaving, preventing it from drying out. Inhibits skin dryness and helps the skin recover quickly after every shaveImpactful woody fragrance skin compatibility dermatologically approvedNIVEA MEN DEEP COMFORT After-Shave Lotion is formulated for men who want a long-lasting, post-shave clean feel. This After Shave Lotion is designed to help skin recover quickly after shaving and soothes shave irritationHelps protect the skin from drying out, while leaving the skin feeling refreshedContains a masculine and modern Vanilla & Bourbon scentFor best results, use the complete NIVEA MEN DEEP grooming rangeINGREDIENTSAqua, Alcohol Denat., Propylene Glycol, PEG-40 Hydrogenated Castor Oil, Limonene, Linalool, Alpha-Isomethyl Ionone, Coumarin, Geraniol, Citronellol, Parfum",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/14/3790711/1.jpg?3104,"Aqua, Alcohol Denat., Propylene Glycol, PEG-40 Hydrogenated Castor Oil, Limonene, Linalool, Alpha-Isomethyl Ionone, Coumarin, Geraniol, Citronellol, Parfum",dry skin,https://www.jumia.com.ng/nivea-men-deep-aftershave-lotion-100ml-117097341.html,100.0,DE974ST1W3JGFNAFAMZ,2525.0
mpg1657697,,NIVEA,NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml | Jumia Nigeria,"NIVEA Perfect & Radiant Even Tone Day Cream SPF 15 enriched with Even tone Pure Active, Vitamin E and SPF 15 works to gradually enhance skin complexion and visibly reduce the appearance of dark marks, while protecting your skin from harmful effects of the sun. NIVEA Perfect & Radiant Even Tone Night Cream enriched with Event tone Pure Active, Pearl Extract & Vitamin C works during the night to support the skin's natural renewal process and rejuvenate the skin. It visibly restores even skin tone, enhances skin complexion, and reduces the appearance of dark marks. How to use ",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/24/1713401/1.jpg?8111,"Perfect & Radiant Even Tone Day Cream SPF 15: Water, Octinoxate, Glycerin, Benzophenone-4, Alcohol Denat., Cyclomethicone, Distarch Phosphate, Glyceryl Stearate Citrate, Avobenzone, Cetearyl Alcohol, Myristyl Myristate, Octyldodecanol, Hydrolyzed Pearl, Glycyrrhiza Glabra (Licorice) Root Extract, Sodium Ascorbyl Phosphate, Tocopheryl Acetate, Fucus Vesiculosus Extract, Nelumbium Speciosum Flower Extract, Panax Ginseng Root Extract, Glyceryl Glucoside, Caprylic/Capric Triglyceride, Propylene Glycol, Carbomer, Sodium Polyacrylate, 1, 2-Hexanediol, Trisodium EDTA, Phenoxyethanol, Linalool, Butylphenyl Methylpropional, Alpha-Isomethyl Ionone, Benzyl Alcohol, Geraniol, Citronellol, BHT, Fragrance, Titanium Dioxide
Perfect & Radiant Even Tone Night Cream: Water, Glycerin, Tapioca Starch, Cetearyl Alcohol, Alcohol Denat., Sodium Palmitate, Glyceryl Stearate, Sodium Stearate, Hydrogenated Coco-Glycerides, Myristyl Myristate, Hydrolyzed Pearl, Glycyrrhiza Glabra (Licorice) Root Extract, Panthenol, Sodium Ascorbyl Phosphate, Tocopheryl Acetate, Nelumbium Speciosum Flower Extract, Fucus Vesiculosus Extract, Panax Ginseng Root Extract, Glyceryl Glucoside, 4-Butylresorcinol, Sodium Myristate, Sodium Arachidate, Sodium Oleate, C12-15 Alkyl Benzoate, Caprylic/Capric Triglyceride, Microcrystalline Wax, Dimethicone, Mineral Oil, Carbomer, Propylene Glycol, Phenoxyethanol, Methylparaben, BHT, Linalool, Butylphenyl Methylpropional, Alpha-Isomethyl Ionone, Benzyl Alcohol, Geraniol, Citronellol, Fragrance, Titanium Dioxide.",dry skin,https://www.jumia.com.ng/perfect-radiant-day-cream-and-face-cleansing-foam-er-body-lotion-100ml-nivea-mpg1657697.html,50.0,NI930ST21XF7WNAFAMZ,8260.0
104320986,,NIVEA,NIVEA Radiant & Beauty Advanced Care Body Lotion For Women - 400ml | Jumia Nigeria,"NIVEA Radiant & Beauty Advanced Care is formulated with your shade of beautiful. Enjoy 48 hour lingering moisture that hydrates your skin, leaving you feeling and looking better. The superior formulation helps to clear your stretch marks and reduces their appearance in just two weeks. Reveal the true beauty and radiance of your skin. Specially developed for the needs of melanin-rich skin, giving you a silky, smooth feel so you can radiate your natural glow.NIVEA Radiant & Beauty Advanced Care lotion is enriched with 5 natural oils: Almond, Soybean, Avocado, Macadamia, and Olive Oil. This blend of oils gives you lingering nourishment and skin glow.NIVEA Radiant & Beauty locks in your natural moisture, keeping you hydrated so you can bring out your natural shine. It contains glycerine that keeps skin moisturized so you no longer need to reapply moisturizer or enrich your body lotion for that moisture boost. The lotion also contains 5 skin vitamins: A, E, C, B3+Pro, and B5, which keep your skin supple and emollient.",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/68/9023401/1.jpg?0471," Aqua, Glycerin, Paraffinum, Liquidum, Cetearyl Alcohol, Glyceryl Stearate SE, Isopropyl Palmitate, Dicaprylyl Ether, Glyceryl Stearate, Hydroxypropyl, Starch Phosphate, Glycine Soja Oil, Phenoxyethanol, Caprylic/Capric Triglycride, Cera Microcristalli-na, Sodium Cetearyl Sulphate, Trisodium EDTA, Ethylhexyglycerin, Tocopheryl Acetate, Citric Acid, Potassium Lactate, Macadamia Integrifolia seed Oil, Olea Europaea Fruit Oil, Persea Gratissima Oil, Prunus Amygdalus Dulcis Oil, Niacinamide, Retinyl Palmitate, Lactic Acid, Sodium Ascorbyl Phosphate, Panthenol, Ricinus Communis Seed Oil, Tacopherol, Pantolactone, Propyl Gallate, BHT, Parfum.",dry skin,https://www.jumia.com.ng/nivea-radiant-beauty-advanced-care-body-lotion-for-women-400ml-104320986.html,400.0,NI930ST2SK5VONAFAMZ,5000.0
117097338,,NIVEA,NIVEA MEN Deep Espresso Deodorant Spray - 200ml (Pack Of 2) | Jumia Nigeria,"NIVEA MEN DEEP Antibacterial Anti-perspirant protects the skin from sweat and bacteria for long-lasting dryness, a clean skin feel and leaves no visible black residue behind.The effective formula with Black Carbon acts powerfully against bacteria and is complemented by a modern, masculine and sensual scent; Espresso.Discover this new tempting and addictive fragrance blending fresh pineapple and espresso ristretto with a touch of spices and dark chocolate. Unleash your senses by diving into this world of sweet seduction fused with precious lavender and magnetic woods.Reliable 48h antiperspirant protectionFor dry and clean skin feelPowerful protection against bacteriaLong-lasting fragranceNo visible black residueSkin tolerance dermatologically provenINGREDIENTSPropane, Cyclomethicone, Aluminum Chlorohydrate, Isopropyl Palmitate, Parfum, Persea Gratissima Oil, Octyldodecanol, Charcoal Powder, Disteardimonium Hectorite, Propylene Carbonate, Dimethicone, Dimethiconol, Alpha-Isomethyl Ionone, Linalool, Benzyl Alcohol, Benzyl Benzoate",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/83/3790711/1.jpg?3057,"Propane, Cyclomethicone, Aluminum Chlorohydrate, Isopropyl Palmitate, Parfum, Persea Gratissima Oil, Octyldodecanol, Charcoal Powder, Disteardimonium Hectorite, Propylene Carbonate, Dimethicone, Dimethiconol, Alpha-Isomethyl Ionone, Linalool, Benzyl Alcohol, Benzyl Benzoate",dry skin,https://www.jumia.com.ng/nivea-men-deep-espresso-deodorant-spray-200ml-pack-of-2-117097338.html,200.0,DE974ST316G73NAFAMZ,7330.0
