,Products_with_common_ingredient,The_common_ingredients
0,"('NIVEA MEN Deep Body Lotion 400ml ', 'NIVEA Perfect & Radiant Body Lotion For Women - 400ml (Pack Of 2) | Jumia Nigeria')","{'bht', 'geraniol', 'glycerin', 'trisodium edta', 'linalool', 'citronellol', 'limonene', 'phenoxyethanol', 'parfum', 'coumarin', 'isopropyl palmitate'}"
1,"('NIVEA MEN Deep Body Lotion 400ml ', 'NIVEA DoShakara Pack - Nourishing Cocoa Body Lotion - 400ml (Pack Of 3) | Jumia Nigeria')","{'bht', 'cetearyl alcohol', 'glycerin', 'sodium cetearyl sulfate', 'sodium hydroxide', 'trisodium edta', 'carbomer', 'phenoxyethanol', 'glyceryl stearate se', 'isopropyl palmitate'}"
2,"('NIVEA MEN Deep Body Lotion 400ml ', 'NIVEA Radiant & Beauty Even Glow Body Lotion For Women - 400ml - Pack Of 2 | Jumia Nigeria')","{'parfum', 'cetearyl alcohol', 'bht', 'persea gratissima oil', 'glycerin', 'trisodium edta', 'phenoxyethanol', 'glyceryl stearate se', 'isopropyl palmitate'}"
3,"('NIVEA MEN Deep Body Lotion 400ml ', 'NIVEA Dry Comfort Roll-on For Women, 72h- 50ml (Pack Of 3) | Jumia Nigeria')","{'bht', 'steareth-21', 'ppg-15 stearyl ether', 'geraniol', 'persea gratissima oil', 'aluminum chlorohydrate', 'trisodium edta', 'linalool', 'steareth-2', 'limonene', 'citronellol', 'parfum'}"
4,"('NIVEA MEN Deep Body Lotion 400ml ', 'NIVEA Sun UV Sunscreen Face Shine Control Cream SPF 50 - 50ml | Jumia Nigeria')","{'cetearyl alcohol', 'geraniol', 'glycerin', 'alcohol denat', 'citronellol', 'parfum', 'coumarin'}"
5,"('NIVEA MEN Deep Body Lotion 400ml ', 'NIVEA MEN Deep Aftershave Lotion - 100ml | Jumia Nigeria')","{'geraniol', 'alcohol denat', 'linalool', 'citronellol', 'limonene', 'parfum', 'coumarin'}"
6,"('NIVEA MEN Deep Body Lotion 400ml ', 'NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml | Jumia Nigeria')","{'bht', 'cetearyl alcohol', 'geraniol', 'glycerin', 'alcohol denat', 'trisodium edta', 'linalool', 'citronellol', 'carbomer', 'phenoxyethanol'}"
7,"('NIVEA MEN Deep Body Lotion 400ml ', 'NIVEA Radiant & Beauty Advanced Care Body Lotion For Women - 400ml | Jumia Nigeria')","{'parfum', 'cetearyl alcohol', 'bht', 'persea gratissima oil', 'glycerin', 'trisodium edta', 'phenoxyethanol', 'glyceryl stearate se', 'isopropyl palmitate'}"
8,"('NIVEA MEN Deep Body Lotion 400ml ', 'NIVEA MEN Deep Espresso Deodorant Spray - 200ml (Pack Of 2) | Jumia Nigeria')","{'charcoal powder', 'persea gratissima oil', 'aluminum chlorohydrate', 'linalool', 'parfum', 'isopropyl palmitate'}"
9,"('NIVEA MEN Deep Body Lotion 400ml ', 'NIVEA Soft Cream 200ml | Jumia Nigeria')","{'glycerin', 'alcohol denat', 'linalool', 'limonene', 'citronellol', 'phenoxyethanol', 'parfum'}"
10,"('NIVEA MEN Deep Body Lotion 400ml ', 'NIVEA Orange & Avocado Oil Shower Gel for Women 500ml | Jumia Nigeria')","{'geraniol', 'linalool', 'glycerin', 'limonene'}"
